,Date,Mkt-RF,SMB,HML,RMW,CMA,RF,ADS_Index,SP500,T10Y3M,OBMMIJUMBO30YF,DEXUSEU,DEXJPUS,DEXUSUK,CBBTCUSD,CBETHUSD,T10YIE_x,DCOILBRENTEU,VIXCLS,DAAA,DBAA,NIKKEI225,AMERIBOR,T10YIE_y,T5YIE,BAMLH0A0HYM2,BAMLH0A0HYM2EY,DGS10,DGS1,RIFSPPFAAD90NB,DCPN3M,DCPF1M,DCOILWTICO,DHHNGSP,USRECD,USRECDM,USRECDP
0,2018-01-02,0.85,0.3,-0.22,-0.5,0.31,0.006,-0.283936,2695.81,1.02,4.227,1.205,112.18,1.3596,14781.51,865.0,2.0,66.65,9.77,3.52,4.24,,1.55911,2.0,1.9,3.55,5.81,2.46,1.83,1.68,1.58,1.52,60.37,6.24,0.0,0.0,0.0
1,2018-01-03,0.59,-0.46,-0.18,-0.7,-0.06,0.006,-0.304869,2713.06,1.03,4.183,1.203,112.28,1.3522,15098.14,938.31,1.98,67.85,9.15,3.5,4.21,,1.56372,1.98,1.87,3.48,5.73,2.44,1.81,1.62,1.57,1.44,61.61,6.24,0.0,0.0,0.0
2,2018-01-04,0.42,-0.22,0.24,-0.02,0.31,0.006,-0.323642,2723.99,1.05,4.304,1.2064,112.78,1.3539,15144.99,949.0,2.01,68.73,9.22,3.47,4.21,23506.33,1.55779,2.01,1.92,3.4,5.67,2.46,1.82,1.65,1.59,1.47,61.98,4.65,0.0,0.0,0.0
3,2018-01-05,0.66,-0.37,-0.26,0.37,-0.38,0.006,-0.340263,2743.15,1.08,4.233,1.2039,113.18,1.3562,16960.01,969.27,2.01,68.01,9.22,3.5,4.23,23714.53,1.5582,2.01,1.95,3.36,5.64,2.47,1.8,1.56,1.58,1.47,61.49,,0.0,0.0,0.0
4,2018-01-08,0.19,-0.19,0.05,-0.07,0.01,0.006,-0.37845,2747.71,1.04,4.256,1.1973,113.08,1.3566,14993.74,1137.01,2.02,68.48,9.52,3.5,4.23,,1.55454,2.02,1.91,3.35,5.64,2.49,1.79,1.61,1.57,1.47,61.73,2.89,0.0,0.0,0.0
5,2018-01-09,0.15,-0.39,-0.04,-0.13,0.03,0.006,-0.388876,2751.29,1.11,4.209,1.1922,112.57,1.3518,14480.99,1290.01,2.03,69.08,10.08,3.57,4.29,23849.99,1.556,2.03,1.95,3.33,5.66,2.55,1.78,1.64,1.58,1.48,62.92,2.93,0.0,0.0,0.0
6,2018-01-10,-0.07,0.14,0.57,-0.33,0.03,0.006,-0.398355,2748.23,1.13,4.446,1.1958,111.48,1.3513,14875.18,1246.94,2.03,69.79,9.82,3.58,4.28,23788.2,1.55585,2.03,1.94,3.42,5.75,2.55,1.78,1.57,1.58,1.43,63.6,3.16,0.0,0.0,0.0
7,2018-01-11,0.87,1.13,0.31,-0.22,0.59,0.006,-0.40689,2767.56,1.11,4.328,1.2035,111.35,1.3543,13308.06,1137.01,2.0,70.36,9.88,3.53,4.23,23710.43,1.55484,2.0,1.89,3.4,5.72,2.54,1.77,1.58,1.57,1.48,63.81,3.16,0.0,0.0,0.0
8,2018-01-12,0.66,-0.33,0.16,-0.1,0.18,0.006,-0.414484,2786.24,1.12,4.342,1.213,111.23,1.3689,13820.0,1260.0,2.01,69.64,10.16,3.5,4.23,23653.82,1.5564300000000002,2.01,1.92,3.37,5.72,2.55,1.78,1.65,1.58,1.48,64.22,4.06,0.0,0.0,0.0
9,2018-01-16,-0.49,-0.99,0.01,0.44,-0.4,0.006,-0.432481,2776.42,1.09,4.231,1.2244,110.74,1.3774,11570.01,1080.0,2.03,69.4,11.66,3.49,4.2,23951.81,1.5548899999999999,2.03,1.94,3.34,5.69,2.54,1.79,1.62,1.58,1.49,63.82,5.46,0.0,0.0,0.0
10,2018-01-17,0.95,-0.05,-0.1,-0.08,-0.1,0.006,-0.432382,2802.56,1.13,4.247,1.2229,110.81,1.3824,11200.01,1028.06,2.04,69.19,11.91,3.5,4.23,23868.34,1.55442,2.04,1.9,3.34,5.71,2.57,1.79,1.57,1.59,1.47,63.92,3.92,0.0,0.0,0.0
